"target_sequence","student_id","assignment_completed","problems_completed"
PSAVUF5,12449,1,3
PSAVUF5,12525,1,3
PSA2H6G,12560,0,11
PSA2H6G,12591,0,1
PSA2H6G,12592,0,9
PSA2H6G,12593,1,3
PSA2H6G,12616,1,3
PSA2H6G,12617,1,4
PSA2H6G,12619,1,6
PSA2H6G,12621,1,3
PSA2H6G,12622,1,6
PSA2H6G,12623,1,3
PSA2H6G,12625,1,3
PSA2H6G,12626,1,9
PSA2H6G,12627,1,7
PSA2H6G,12628,1,3
PSA2H6G,12629,1,3
PSA2H6G,12630,1,4
PSA2H6G,12632,1,7
PSA2H6G,12634,0,10
PSA2H6G,12635,1,5
PSA2H6G,12636,1,3
PSA2H6G,12637,1,5
PSA2H6G,12639,1,3
PSA2H6G,12770,1,3
PSA2H6G,12771,1,3
PSA2H6G,12772,1,5
PSA2H6H,12801,1,7
PSAVTVJ,12801,1,3
PSA2H6H,12802,1,3
PSAVTVJ,12802,1,3
PSAVUK8,12802,1,7
PSA2H6H,12803,0,2
PSAVTVJ,12803,1,4
PSAVUK8,12803,0,8
PSAVUK8,12804,0,1
PSA2H6H,12805,1,7
PSAVTVJ,12805,1,3
PSAVUA4,12805,1,9
PSAVUK8,12805,1,3
PSA2H6H,12806,1,5
PSAVTVJ,12806,1,3
PSA2H6H,12807,0,7
PSAVTVJ,12807,1,3
PSAVUA4,12807,1,4
PSAVUK8,12807,1,10
PSA2H6H,12808,1,3
PSAVTVJ,12808,1,3
PSAVUA4,12808,1,3
PSAVUK8,12808,1,3
PSA2H6H,12809,1,3
PSAVTVJ,12809,1,3
PSAVUA4,12809,1,4
PSAVUK8,12809,1,3
PSAVUA4,12810,1,4
PSAVUK8,12810,1,5
PSA2H6H,12811,1,5
PSAVTVJ,12811,1,3
PSAVUA4,12811,1,3
PSAVUK8,12811,1,6
PSA2H6H,12812,1,32
PSAVTVJ,12812,1,3
PSAVUA4,12812,1,5
PSAVUK8,12812,1,8
PSAVTVJ,12813,1,4
PSAVUA4,12813,1,8
PSAVUK8,12813,1,4
PSA2H6H,12814,1,7
PSAVTVJ,12814,1,6
PSAVUA4,12814,0,3
PSAVUK8,12814,1,8
PSA2H6H,12815,1,8
PSAVTVJ,12815,1,3
PSAVUA4,12815,1,5
PSAVUK8,12815,0,5
PSA2H6H,12816,0,4
PSAVTVJ,12816,1,3
PSAVUA4,12816,0,3
PSAVUK8,12816,1,12
PSA2H6H,12817,1,13
PSAVTVJ,12817,1,4
PSAVUA4,12817,1,5
PSAVUK8,12817,1,8
PSA2H6H,12818,1,24
PSAVTVJ,12818,1,5
PSAVUA4,12818,1,4
PSAVUK8,12818,0,10
PSA2H6H,12819,1,7
PSAVTVJ,12819,1,3
PSAVUA4,12819,1,6
PSAVUK8,12819,1,10
PSAVTVJ,12820,1,4
PSAVUA4,12820,1,5
PSAVUK8,12820,0,10
PSA2H6H,12821,1,3
PSAVTVJ,12821,1,3
PSAVUA4,12821,0,11
PSAVUK8,12821,0,1
PSAVTVJ,12822,1,4
PSAVUA4,12822,0,3
PSAVUK8,12822,1,11
PSA2H6H,12823,0,1
PSAVTVJ,12823,1,3
PSAVUA4,12823,1,8
PSAVUK8,12823,0,3
PSAVTVJ,12824,1,4
PSA2H6H,12825,0,2
PSAVUK8,12825,0,12
PSA2H6H,12826,1,6
PSAVTVJ,12826,1,3
PSAVUA4,12826,1,7
PSAVUK8,12826,1,15
PSA2H6H,12827,0,5
PSAVTVJ,12827,1,3
PSAVUA4,12827,1,5
PSAVUK8,12827,1,4
PSA2H6H,12828,1,4
PSAVTVJ,12828,1,3
PSAVUA4,12828,1,13
PSAVUK8,12828,1,12
PSA2H6H,12829,1,10
PSAVTVJ,12829,1,5
PSAVUA4,12829,1,6
PSAVUK8,12829,1,3
PSA2H6H,12831,1,4
PSAVTVJ,12831,1,5
PSAVUA4,12831,0,2
PSAVUK8,12831,1,12
PSA2H6H,12832,1,3
PSAVTVJ,12832,1,4
PSAVUA4,12832,1,3
PSAVUK8,12832,0,10
PSA2H6H,12865,1,3
PSAVTVJ,12865,1,3
PSAVUA4,12865,1,3
PSAVUK8,12865,1,3
PSAV9DV,12872,1,4
PSAV9DV,12873,0,10
PSAVTVJ,12877,0,3
PSAV9DV,12879,1,16
PSAVTVJ,12883,1,4
PSAVTVJ,12884,1,10
PSAVTVJ,12885,1,4
PSAVTVJ,12887,1,4
PSAVTVJ,12888,1,3
PSAVTVJ,12892,1,4
PSAVTVJ,12894,1,4
PSA2H6G,13062,1,3
PSAVUF5,13130,1,5
PSAVUF5,13131,1,3
PSAVUF5,13132,1,7
PSAVUF5,13133,1,3
PSAVUF5,13135,1,5
PSAVUF5,13136,1,5
PSAVUK8,13168,1,3
PSAVUK8,13169,1,6
PSAVUK8,13171,1,11
PSAVUK8,13173,1,3
PSAVUK8,13174,1,9
PSAVUK8,13177,1,5
PSAVUK8,13179,1,5
PSAVUK8,13181,1,3
PSAVUK8,13182,1,6
PSAVUK8,13183,1,10
PSAVUF5,13184,1,9
PSAVUK8,13185,1,7
PSAVUK8,13186,1,9
PSAVUK8,13196,1,5
PSAVUF5,13202,1,6
PSAVUK8,13206,1,20
PSAVUK8,13210,1,6
PSAVUK8,13211,1,3
PSAVUF5,13212,1,3
PSAVUF5,13216,1,6
PSAVUK8,13217,1,3
PSAVUF5,13218,1,4
PSAVUF5,13219,1,7
PSAVUF5,13220,1,6
PSAVUF5,13221,1,5
PSAVUK8,13222,1,7
PSAVUF5,13225,1,7
PSAVUK8,13226,1,3
PSAVUF5,13227,1,4
PSAVUF5,13233,1,7
PSAVUF5,13235,1,7
PSAVUF5,13239,1,8
PSAVUF5,13243,1,3
PSAVUK8,13263,1,5
PSAVUK8,13265,1,6
PSAVUK8,13266,1,7
PSAVUK8,13268,0,11
PSAVUK8,13269,1,5
PSAVUK8,13275,1,7
PSAVUK8,13276,1,9
PSAVUK8,13283,0,4
PSAVUF5,13284,1,7
PSAVUF5,13294,1,7
PSAVUF5,13296,1,4
PSAVUF5,13297,1,4
PSAVUF5,13299,1,3
PSAVUF5,13301,1,9
PSAVUF5,13303,1,5
PSAVUF5,13307,1,5
PSAVUF5,13308,1,3
PSAVUF5,13309,1,3
PSAVUF5,13310,1,5
PSAVUF5,13313,1,5
PSAVUF5,13319,1,3
PSAVUF5,13321,1,6
PSAVUF5,13323,1,6
PSAVUF5,13324,1,6
PSAVUF5,13325,1,3
PSAVUF5,13326,0,7
PSAVUF5,13328,1,3
PSAVUF5,13329,1,5
PSAVUF5,13359,1,8
PSAVUF5,13361,1,3
PSAVUF5,13362,1,5
PSAVUF5,13363,0,11
PSAVUF5,13369,1,5
PSAVUF5,13370,1,6
PSAVUF5,13371,1,6
PSAVUF5,13372,1,10
PSAVUF5,13373,0,5
PSAVUF5,13374,1,3
PSAVUF5,13376,1,6
PSAVUF5,13378,0,1
PSAVUF5,13379,1,6
PSAVUF5,13380,1,3
PSAVUF5,13384,1,3
PSAVUF5,13385,1,4
PSAVUF5,13389,1,3
PSAVUF5,13408,1,3
PSAVUF5,13410,1,7
PSAVUF5,13412,1,6
PSAVUF5,13414,1,3
PSAVUF5,13416,1,3
PSAVUF5,13417,0,7
PSAVUF5,13422,1,3
PSAVUF5,13423,1,3
PSAVUF5,13424,1,3
PSAVUF5,13426,1,4
PSAVUF5,13427,1,3
PSAVUF5,13428,1,7
PSAVUF5,13433,1,7
PSAVUF5,13440,1,5
PSAVUF5,13441,0,3
PSAVUF5,13442,0,2
PSAVUF5,13448,1,3
PSAVUF5,13450,1,3
PSAVUF5,13454,1,5
PSAVUF5,13459,1,4
PSAVUF5,13461,1,3
PSAVUF5,13464,1,7
PSAVUF5,13468,1,3
PSAVUF5,13472,1,5
PSAVUF5,13474,1,3
PSAVUF5,13483,1,3
PSAVUF5,13485,1,3
PSAVUF5,13498,1,3
PSAVUF5,13500,1,3
PSAVUF5,13501,1,3
PSAVUF5,13503,1,9
PSAVUF5,13504,1,4
PSAVUF5,13508,1,6
PSA2H6G,13581,1,3
PSAVUA4,13602,0,3
PSAVUA4,13607,1,5
PSAVUK8,13607,1,3
PSAV9DV,13611,1,6
PSAVUF5,13698,1,3
PSAVUF5,13825,1,3
PSA2H6G,13843,1,11
PSAVTVJ,13851,1,3
PSAVTVJ,14040,1,3
PSAVTVJ,14056,0,3
PSAVUF5,14219,1,3
PSAVUF5,14220,1,6
PSAVUF5,14221,1,5
PSAVUF5,14222,1,6
PSAVUF5,14223,1,5
PSAVUF5,14224,1,3
PSAVUF5,14226,0,11
PSAVUF5,14227,1,3
PSAVUF5,14228,1,5
PSAVUF5,14229,1,4
PSAVUF5,14230,1,4
PSAVUF5,14231,1,3
PSAVUF5,14232,1,8
PSAVUF5,14233,1,6
PSAVUF5,14235,0,3
PSAVUF5,14239,1,3
PSAVUF5,14267,1,12
PSAVUF5,14277,1,3
PSAVUF5,14291,1,9
PSAVUF5,14316,1,7
PSAVUF5,14395,1,4
PSAVUF5,14402,1,12
PSAVUF5,14408,0,2
PSAVUF5,14417,1,5
PSAVUF5,14425,1,4
PSAVUF5,14430,1,3
PSAVUF5,14434,0,3
PSAVUF5,14436,1,9
PSAVUF5,14438,1,6
PSAVUF5,14439,1,4
PSAVUF5,14456,1,5
PSAVUF5,14505,1,3
PSAVUF5,14506,0,4
PSAVUF5,14572,1,10
PSAVUF5,14573,1,13
PSAVUF5,14575,0,2
PSAVUF5,14576,1,13
PSAVUF5,14577,1,8
PSAVUF5,14578,1,7
PSAVUF5,14582,1,9
PSAVUF5,14583,0,2
PSAVUF5,14586,1,3
PSAVUF5,14587,1,4
PSAVUF5,14589,1,5
PSAVUF5,14595,0,3
PSAVUF5,14609,1,4
PSAVUF5,14617,1,3
PSAVUF5,14636,0,2
PSAVUF5,14646,1,8
PSAVUF5,14649,1,8
PSAVUF5,14650,0,4
PSAVUF5,14652,1,7
PSAVUF5,14660,0,5
PSAVUF5,14661,1,5
PSAVUF5,14662,1,5
PSAVTVJ,14664,1,6
PSAVUF5,14666,1,4
PSAVTVJ,14668,0,2
PSAVTVJ,14669,1,4
PSAVTVJ,14672,1,4
PSAVTVJ,14691,1,3
PSAVUF5,14708,1,4
PSAVTVJ,14709,1,3
PSAVUF5,14736,1,3
PSAVUF5,14749,1,3
PSAVUF5,14750,1,4
PSAVUF5,14768,1,3
PSAVUF5,14773,1,5
PSAVUF5,14774,1,3
PSAVUF5,14779,1,6
PSAVTVJ,14782,1,3
PSAVTVJ,14784,1,4
PSA2H6G,14903,1,4
PSA2H6G,14905,1,3
PSA2H6G,14960,1,4
PSAVTVJ,14998,1,3
PSAVTVJ,14999,1,3
PSAVTVJ,15007,1,3
PSAVTVJ,15012,1,3
PSAVTVJ,15040,1,5
PSAVTVJ,15041,1,5
PSAVTVJ,15043,1,8
PSAVTVJ,15044,1,4
PSAVTVJ,15045,1,6
PSAVTVJ,15046,1,3
PSAVTVJ,15047,1,3
PSAVTVJ,15048,1,4
PSAVTVJ,15053,0,2
PSAVTVJ,15054,1,3
PSAVTVJ,15055,1,4
PSAVTVJ,15056,1,6
PSAVTVJ,15089,1,3
PSAVTVJ,15147,1,3
PSAVTVJ,15148,1,3
PSAVTVJ,15152,1,3
PSAVTVJ,15153,1,3
PSAVTVJ,15154,1,3
PSAVTVJ,15155,1,3
PSAVTVJ,15157,1,3
PSA2H6G,15161,1,3
PSA2H6G,15162,1,9
PSAV9DV,15218,1,6
PSAVTVJ,15231,1,4
PSAVTVJ,15236,1,3
PSAVTVJ,15240,1,5
PSAVTVJ,15244,1,3
PSAVTVJ,15248,1,3
PSAVTVJ,15251,1,6
PSAVTVJ,15257,1,3
PSAVTVJ,15258,1,3
PSAVUK8,15263,1,3
PSAVTVJ,15302,1,6
PSAVUF5,15333,1,10
PSAVUF5,15339,1,5
PSA2H6G,15359,1,4
PSAVTVJ,15514,1,4
PSAVTVJ,15517,1,8
PSAVUF5,15536,0,1
PSA2H6G,15540,0,2
PSA2H6G,15548,1,5
PSAVUF5,15551,1,9
PSA2H6G,15566,1,3
PSAVTVJ,15707,0,1
